Date,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,surplus,surplusinshort,deficit,deficitinshort,,,,,,,,,
3/19/2011,19,3,2011,19.03403521,24,35,39,95,surplus,50.31118742,1.020279374,surplus,-0.020279374,deficit,,,,,,,,,
3/20/2011,20,3,2011,16.97104215,24,33.5,45,95,surplus,57.8920637,1.017577144,surplus,-0.017577144,deficit,,,,,,,,,
3/21/2011,21,3,2011,18.62740153,23.5,33.5,44,95,surplus,49.05967996,1.020807463,surplus,-0.020807463,deficit,,,,,,,,,
3/22/2011,22,3,2011,15.99628521,23.5,34.5,44,98,surplus,62.26406172,1.016322783,surplus,-0.016322783,deficit,,,,,,,,,
3/23/2011,23,3,2011,13.68960292,21.5,32,63,100,surplus,75.77189462,1.013374009,surplus,-0.013374009,deficit,,,,,,,,,
3/24/2011,24,3,2011,19.64143972,22,33,45,93,surplus,20.30750062,1.051793343,surplus,-0.051793343,deficit,,,,,,,,,
3/25/2011,25,3,2011,13.15130431,22.1,31.5,60,95,surplus,56.25727241,1.018097165,surplus,-0.018097165,deficit,,,,,,,,,
3/26/2011,26,3,2011,19.10677826,26.5,34,43,95,surplus,105.6637141,1.00955441,surplus,-0.00955441,deficit,,,,,,,,,
3/27/2011,27,3,2011,17.48679042,23,33,51,95,surplus,65.20161573,1.015575932,surplus,-0.015575932,deficit,,,,,,,,,
3/28/2011,28,3,2011,17.33693972,23,34,43,95,surplus,40.38266291,1.025391884,surplus,-0.025391884,deficit,,,,,,,,,
3/29/2011,29,3,2011,17.82577306,24,33.5,38,95,surplus,26.90896745,1.038596675,surplus,-0.038596675,deficit,,,,,,,,,
3/30/2011,30,3,2011,17.56462549,24,34,41,94,surplus,43.5473492,1.023503227,surplus,-0.023503227,deficit,,,,,,,,,
3/31/2011,31,3,2011,19.95568972,25,34.5,40,94,surplus,66.46212594,1.015276009,surplus,-0.015276009,deficit,,,,,,,,,
4/1/2011,1,4,2011,18.82051979,24.5,35,38,93,surplus,46.91455404,1.021779586,surplus,-0.021779586,deficit,,,,,,,,,
4/2/2011,2,4,2011,17.16817583,25,34,45,92,surplus,71.76715599,1.014130849,surplus,-0.014130849,deficit,,,,,,,,,
4/3/2011,3,4,2011,20.61910639,22,35,39,98,surplus,27.1214974,1.038282645,surplus,-0.038282645,deficit,,,,,,,,,
4/4/2011,4,4,2011,10.58201958,22,33,64,94,surplus,69.9943992,1.01449393,surplus,-0.01449393,deficit,,,,,,,,,
4/5/2011,5,4,2011,18.59757687,22,33,47,94,surplus,31.9261676,1.032335077,surplus,-0.032335077,deficit,,,,,,,,,
4/6/2011,6,4,2011,19.35410465,23.5,34.5,32,92,deficit,-10.56602059,0.913539839,deficit,0.086460161,surplus,,,,,,,,,
4/7/2011,7,4,2011,19.04494667,24.5,35,29,90,deficit,-12.06678426,0.923470076,deficit,0.076529924,surplus,,,,,,,,,
4/8/2011,8,4,2011,16.94703694,24.5,35,35,89,surplus,17.93093137,1.059063496,surplus,-0.059063496,deficit,,,,,,,,,
4/9/2011,9,4,2011,14.93132687,22.5,33.5,52,100,surplus,71.52973074,1.014178418,surplus,-0.014178418,deficit,,,,,,,,,
4/10/2011,10,4,2011,14.98588417,22,30,60,95,surplus,43.6241011,1.023460905,surplus,-0.023460905,deficit,,,,,,,,,
4/11/2011,11,4,2011,17.31438937,22,32.5,53,94,surplus,50.53991177,1.020185744,surplus,-0.020185744,deficit,,,,,,,,,
4/12/2011,12,4,2011,13.96820882,24,32,54,92,surplus,60.47691038,1.016813247,surplus,-0.016813247,deficit,,,,,,,,,
4/13/2011,13,4,2011,13.37171576,24,33.2,50,95,surplus,63.35725404,1.016036627,surplus,-0.016036627,deficit,,,,,,,,,
4/14/2011,14,4,2011,15.58164979,22,32,54,92,surplus,40.71518939,1.025179283,surplus,-0.025179283,deficit,,,,,,,,,
4/15/2011,15,4,2011,17.92906819,22.5,33,55,92,surplus,69.95947963,1.01450127,surplus,-0.01450127,deficit,,,,,,,,,
4/16/2011,16,4,2011,16.17086854,24.5,33,46,96,surplus,64.38155198,1.015777462,surplus,-0.015777462,deficit,,,,,,,,,
4/17/2011,17,4,2011,9.847314722,23,31,60,96,surplus,50.26228863,1.020299503,surplus,-0.020299503,deficit,,,,,,,,,
4/18/2011,18,4,2011,14.2533616,21,32,55,95,surplus,36.70122241,1.028010245,surplus,-0.028010245,deficit,,,,,,,,,
4/19/2011,19,4,2011,18.54374701,21.5,34,45,95,surplus,30.08099623,1.034386717,surplus,-0.034386717,deficit,,,,,,,,,
4/20/2011,20,4,2011,16.2959866,24,33,50,94,surplus,69.15916554,1.014671541,surplus,-0.014671541,deficit,,,,,,,,,
4/21/2011,21,4,2011,14.08678,24,33.5,50,95,surplus,69.20854107,1.014660921,surplus,-0.014660921,deficit,,,,,,,,,
4/22/2011,22,4,2011,15.22739111,24,35,44,94,surplus,63.01053385,1.016126292,surplus,-0.016126292,deficit,,,,,,,,,
4/23/2011,23,4,2011,14.50941715,24.5,33.2,54,99,surplus,98.51376811,1.010254962,surplus,-0.010254962,deficit,,,,,,,,,
4/24/2011,24,4,2011,14.06131993,24,31.5,57,98,surplus,78.16410891,1.012959393,surplus,-0.012959393,deficit,,,,,,,,,
4/25/2011,25,4,2011,6.629889375,24,28.5,68,99,surplus,44.89266219,1.022782851,surplus,-0.022782851,deficit,,,,,,,,,
4/26/2011,26,4,2011,18.32551785,21,33.5,42,95,surplus,2.585444817,1.630737815,surplus,-0.630737815,deficit,,,,,,,,,
4/27/2011,27,4,2011,17.08815847,22,34,48,94,surplus,47.0279785,1.021725916,surplus,-0.021725916,deficit,,,,,,,,,
4/28/2011,28,4,2011,10.22194146,24,32.1,57,94,surplus,59.40030222,1.017123199,surplus,-0.017123199,deficit,,,,,,,,,
4/29/2011,29,4,2011,15.56346403,22.2,31,55,95,surplus,41.58630593,1.024638852,surplus,-0.024638852,deficit,,,,,,,,,
4/30/2011,30,4,2011,7.437715556,22.5,27,70,99,surplus,33.15725713,1.03109718,surplus,-0.03109718,deficit,,,,,,,,,
5/1/2011,1,5,2011,19.03767236,22,28.5,46,97,deficit,-14.24149276,0.934389629,deficit,0.065610371,surplus,,,,,,,,,
5/2/2011,2,5,2011,14.48541194,21.2,34,54,96,surplus,60.30287083,1.01686259,surplus,-0.01686259,deficit,,,,,,,,,
5/3/2011,3,5,2011,15.710405,23,34,52,95,surplus,76.48211186,1.013248172,surplus,-0.013248172,deficit,,,,,,,,,
5/4/2011,4,5,2011,18.64704215,22.1,33.5,42,95,surplus,17.84649899,1.059359514,surplus,-0.059359514,deficit,,,,,,,,,
5/5/2011,5,5,2011,17.1339866,22,33.5,49,94,surplus,45.402134,1.02252144,surplus,-0.02252144,deficit,,,,,,,,,
5/6/2011,6,5,2011,14.43740153,24,34,45,95,surplus,56.41231274,1.018046531,surplus,-0.018046531,deficit,,,,,,,,,
5/7/2011,7,5,2011,16.39564458,25,35,50,97,surplus,118.9183531,1.008480444,surplus,-0.008480444,deficit,,,,,,,,,
5/8/2011,8,5,2011,16.12576785,25.5,33.5,53,97,surplus,118.4038004,1.008517612,surplus,-0.008517612,deficit,,,,,,,,,
5/9/2011,9,5,2011,16.48584597,21.5,29.5,60,95,surplus,34.43586527,1.029908004,surplus,-0.029908004,deficit,,,,,,,,,
5/10/2011,10,5,2011,16.82119146,22,33,50,98,surplus,52.05733381,1.019585825,surplus,-0.019585825,deficit,,,,,,,,,
5/11/2011,11,5,2011,17.03287375,22,32.5,47,95,surplus,27.02151945,1.038429731,surplus,-0.038429731,deficit,,,,,,,,,
5/12/2011,12,5,2011,13.24950743,23,32,55,95,surplus,55.88637467,1.018219458,surplus,-0.018219458,deficit,,,,,,,,,
5/13/2011,13,5,2011,17.51661507,23.5,34,47,98,surplus,75.08114483,1.013498711,surplus,-0.013498711,deficit,,,,,,,,,
5/14/2011,14,5,2011,7.835241806,22,29,65,95,surplus,31.45490257,1.032835436,surplus,-0.032835436,deficit,,,,,,,,,
5/15/2011,15,5,2011,15.76205257,22,32,51,99,surplus,44.3845177,1.023049697,surplus,-0.023049697,deficit,,,,,,,,,
5/16/2011,16,5,2011,18.92128347,22,34,54,95,surplus,83.86481411,1.012067848,surplus,-0.012067848,deficit,,,,,,,,,
5/17/2011,17,5,2011,12.70975396,21,33,59,98,surplus,61.67781132,1.016480489,surplus,-0.016480489,deficit,,,,,,,,,
5/18/2011,18,5,2011,12.26456646,23.5,32,60,98,surplus,78.17999561,1.012956725,surplus,-0.012956725,deficit,,,,,,,,,
5/19/2011,19,5,2011,16.22760812,23.5,32,55,96,surplus,74.56124438,1.013594115,surplus,-0.013594115,deficit,,,,,,,,,
5/20/2011,20,5,2011,14.57561333,24,33,49,96,surplus,64.06030071,1.015857837,surplus,-0.015857837,deficit,,,,,,,,,
5/21/2011,21,5,2011,17.9363425,24,33.5,55,99,surplus,119.0707097,1.008469501,surplus,-0.008469501,deficit,,,,,,,,,
5/22/2011,22,5,2011,15.02152826,25,32.2,55,100,surplus,102.8457656,1.009818769,surplus,-0.009818769,deficit,,,,,,,,,
5/23/2011,23,5,2011,16.34108729,23.5,32,54,96,surplus,71.04402459,1.014276735,surplus,-0.014276735,deficit,,,,,,,,,
5/24/2011,24,5,2011,18.84126611,23.5,33,50,95,surplus,72.34512224,1.014016375,surplus,-0.014016375,deficit,,,,,,,,,
5/25/2011,25,5,2011,12.91052479,24,32,57,99,surplus,80.05480715,1.012649452,surplus,-0.012649452,deficit,,,,,,,,,
5/26/2011,26,5,2011,14.68400049,21,31,55,98,surplus,32.16735509,1.032084853,surplus,-0.032084853,deficit,,,,,,,,,
5/27/2011,27,5,2011,11.27380604,21,31,60,97,surplus,39.05657101,1.026276671,surplus,-0.026276671,deficit,,,,,,,,,
5/28/2011,28,5,2011,14.95824181,23,32,56,100,surplus,75.49973579,1.013422866,surplus,-0.013422866,deficit,,,,,,,,,
5/29/2011,29,5,2011,19.27845187,22.5,32.5,52,100,surplus,73.45316049,1.01380202,surplus,-0.01380202,deficit,,,,,,,,,
5/30/2011,30,5,2011,10.06772618,21.5,28,75,100,surplus,50.17641872,1.02033495,surplus,-0.02033495,deficit,,,,,,,,,
5/31/2011,31,5,2011,14.52105604,22,31,59,95,surplus,50.48478828,1.02020823,surplus,-0.02020823,deficit,,,,,,,,,
6/1/2011,1,6,2011,13.96020708,22,30.5,61,95,surplus,49.83629925,1.020476572,surplus,-0.020476572,deficit,,,,,,,,,
6/2/2011,2,6,2011,18.06873486,23.5,33,53,96,surplus,86.55518532,1.011688362,surplus,-0.011688362,deficit,,,,,,,,,
6/3/2011,3,6,2011,15.80642583,24,33,58,96,surplus,104.9237553,1.009622439,surplus,-0.009622439,deficit,,,,,,,,,
6/4/2011,4,6,2011,11.86302479,24.2,31.5,62,100,surplus,87.89691251,1.011507889,surplus,-0.011507889,deficit,,,,,,,,,
6/5/2011,5,6,2011,17.18999875,21.5,30.5,58,100,surplus,51.37166625,1.01985243,surplus,-0.01985243,deficit,,,,,,,,,
6/6/2011,6,6,2011,19.53305257,21.5,32.5,54,97,surplus,60.12511392,1.016913287,surplus,-0.016913287,deficit,,,,,,,,,
6/7/2011,7,6,2011,11.51895014,22.5,31,63,95,surplus,57.84203094,1.017592616,surplus,-0.017592616,deficit,,,,,,,,,
6/8/2011,8,6,2011,10.86062549,23,30,63,95,surplus,50.96683909,1.020013273,surplus,-0.020013273,deficit,,,,,,,,,
6/9/2011,9,6,2011,13.25750917,23,29.5,67,98,surplus,70.42752091,1.01440351,surplus,-0.01440351,deficit,,,,,,,,,
6/10/2011,10,6,2011,17.91233729,22,31.5,51,98,surplus,39.99046178,1.025647298,surplus,-0.025647298,deficit,,,,,,,,,
6/11/2011,11,6,2011,17.62281993,21.5,30,60,99,surplus,51.13206718,1.019947312,surplus,-0.019947312,deficit,,,,,,,,,
6/12/2011,12,6,2011,16.3745491,23.5,31.5,57,100,surplus,86.09987024,1.011750899,surplus,-0.011750899,deficit,,,,,,,,,
6/13/2011,13,6,2011,17.84977826,22.5,31.5,50,98,surplus,42.99929604,1.023809923,surplus,-0.023809923,deficit,,,,,,,,,
6/14/2011,14,6,2011,13.78780604,23,31.5,56,95,surplus,55.57552559,1.018323232,surplus,-0.018323232,deficit,,,,,,,,,
6/15/2011,15,6,2011,15.28267583,23.5,31,62,100,surplus,92.6755688,1.010908032,surplus,-0.010908032,deficit,,,,,,,,,
6/16/2011,16,6,2011,15.95627653,22,30,61,95,surplus,48.9116257,1.020871761,surplus,-0.020871761,deficit,,,,,,,,,
6/17/2011,17,6,2011,14.83530604,23.5,30.5,66,97,surplus,90.81727017,1.011133716,surplus,-0.011133716,deficit,,,,,,,,,
6/18/2011,18,6,2011,12.65228694,22,29,58,100,surplus,33.16828386,1.03108652,surplus,-0.03108652,deficit,,,,,,,,,
6/19/2011,19,6,2011,13.69251264,21,31,60,98,surplus,46.1698816,1.022138646,surplus,-0.022138646,deficit,,,,,,,,,
6/20/2011,20,6,2011,14.23590326,22.5,31.5,60,95,surplus,64.31329592,1.015794471,surplus,-0.015794471,deficit,,,,,,,,,
6/21/2011,21,6,2011,10.87662896,23.5,31,65,100,surplus,77.37261241,1.013093699,surplus,-0.013093699,deficit,,,,,,,,,
6/22/2011,22,6,2011,9.295194931,23,27.5,78,96,surplus,54.95259385,1.01853479,surplus,-0.01853479,deficit,,,,,,,,,
6/23/2011,23,6,2011,14.60980257,23,30.5,60,96,surplus,62.10373764,1.016365611,surplus,-0.016365611,deficit,,,,,,,,,
6/24/2011,24,6,2011,10.41325569,23.5,28,68,99,surplus,53.9018611,1.018902927,surplus,-0.018902927,deficit,,,,,,,,,
6/25/2011,25,6,2011,11.74008903,21.5,30,63,95,surplus,40.07469116,1.025592013,surplus,-0.025592013,deficit,,,,,,,,,
6/26/2011,26,6,2011,13.25387201,22,30.6,66,99,surplus,70.49118835,1.014390314,surplus,-0.014390314,deficit,,,,,,,,,
6/27/2011,27,6,2011,18.42663069,21,30,63,95,surplus,48.30038984,1.021141475,surplus,-0.021141475,deficit,,,,,,,,,
6/28/2011,28,6,2011,12.36131472,21,30,65,94,surplus,40.55199869,1.025283172,surplus,-0.025283172,deficit,,,,,,,,,
6/29/2011,29,6,2011,11.81574181,22.5,28,69,94,surplus,43.56033276,1.023496057,surplus,-0.023496057,deficit,,,,,,,,,
6/30/2011,30,6,2011,13.31934076,22,30,60,92,surplus,35.06976937,1.029351534,surplus,-0.029351534,deficit,,,,,,,,,
7/1/2011,1,7,2011,15.34887201,21.5,30,61,92,surplus,35.91522975,1.028640797,surplus,-0.028640797,deficit,,,,,,,,,
7/2/2011,2,7,2011,10.28304562,23.5,29.5,68,95,surplus,59.86161245,1.016989001,surplus,-0.016989001,deficit,,,,,,,,,
7/3/2011,3,7,2011,14.0962366,21,27,67,96,surplus,21.99278396,1.047635416,surplus,-0.047635416,deficit,,,,,,,,,
7/4/2011,4,7,2011,14.94805778,20.5,30,60,90,surplus,18.24842548,1.057976306,surplus,-0.057976306,deficit,,,,,,,,,
7/5/2011,5,7,2011,11.86666194,22,30,65,94,surplus,48.32455455,1.02113068,surplus,-0.02113068,deficit,,,,,,,,,
7/6/2011,6,7,2011,13.62558903,22,29.5,63,90,surplus,35.39629044,1.029072903,surplus,-0.029072903,deficit,,,,,,,,,
7/7/2011,7,7,2011,7.274392847,22.5,28,77,93,surplus,41.86045939,1.024473538,surplus,-0.024473538,deficit,,,,,,,,,
7/8/2011,8,7,2011,14.10205604,22.2,31,58,90,surplus,39.05176607,1.026279989,surplus,-0.026279989,deficit,,,,,,,,,
7/9/2011,9,7,2011,12.6297366,23,30,65,97,surplus,65.89431404,1.015409671,surplus,-0.015409671,deficit,,,,,,,,,
7/10/2011,10,7,2011,3.80818625,23.5,25.5,83,96,surplus,28.93772799,1.035793891,surplus,-0.035793891,deficit,,,,,,,,,
7/11/2011,11,7,2011,9.422495278,21.5,26.5,77,93,surplus,31.59916903,1.032680626,surplus,-0.032680626,deficit,,,,,,,,,
7/12/2011,12,7,2011,11.15378,21,28.5,64,91,surplus,19.06139176,1.055366719,surplus,-0.055366719,deficit,,,,,,,,,
7/13/2011,13,7,2011,14.38357167,22.5,28.5,62,93,surplus,34.43368482,1.029909955,surplus,-0.029909955,deficit,,,,,,,,,
